,content,label
2343,이 영화는 로맨스 영화가 아니라 가족애와 인생의 의미에 더 비중을 둔 영화다. 특히 아버지와 작별하는 씬은 가 눈물을 자아내게 하는 장면이다.,1
1552,블루썬더의 프로펠러가 공기를 가르는 파장음이 너무 친근하게 다가온다,1
1491,ost보고 지니어스 이거 생각나서 봤는데 재밌음,0
1319,여유로운 일요일 오후 나른하게 동화속 세계로 빠져들게하는 포근하고 따뜻한영화,0
2536,오래전에봤던건데 3d보고 꽤 갠적으로 시리즈중에서 텍사스 버전(?)이 최고라고생각 이 시리즈는 언제나 느끼지만 생각남 훌륭한 스토리에 적당한 잔인함과 공포와 긴장감을 느낄수있어 잔인한영화인걸떠나 꽤 볼만한 영화인듯...bb 결말이 좀충격 but스토리굳,1
1366,뭔 용가맄ㅋㅋㅋㅋ 재밋을 텐데 치킨이 생각나는 기 뭐짘ㅋㅋㅋ,0
1367,뭔 용가맄ㅋㅋㅋㅋ 재밋을 텐데 치킨이 생각나는 건 뭐짘ㅋㅋㅋ,0
1666,재미있게 잘봤어요!! 거기 나오는 권상우 성격은 안들었지만 ㅜㅜ,0
2338,동방명주가 나오는것 보니 상하이에서칙었군요악역으로 나온 호프만이 상대적으로 별로인듯비행기에서 심문할때 애 여유라기보다는 극에 현실감을 주지못했다는,1
2821,평점이 아무도 없네요 10점 주고갑니다.,0
2571,5인조 게임 중독에 빠져 코스프레를 하고 형들은 아버지는 락밴드,1
1197,너무 잘 봣어요..,0
709,삼가 고인의 명복을 빕니다.,0
38,볼만했어요~ㅋㅋ뭐랄까? 스토리가 예측이되는..???,1
1323,아이들과 보기에 좋은 애니메이션!,0
1630,"나의 평점은 9점인데, 평균평점이 8점이라 10점으로 주겠다. 오페라 감상한듯 전율이 이는 자유를 갈망하는 민중의 패기 어린 웅장함이 가슴을 울렸다. 살짝 느낌이 들지만, 한편에 긴 대서사시를 옮긴것만 해도 극찬받을만하다",0
1752,추천합니다. 정말 재밌어요!,0
2104,어렸을때 진짜 잼있게봤는데 특히 하늘을 스프레이로 날으는 장면!!,1
2345,이 영화는 로맨스 영화가 아니라 가족애와 인생의 의미에 더 비중을 둔 영화다. 특히 아버지와 작별하는 씬은 가장 눈물을 자아내게 하는 장면이다.,1
2624,아기자기하고 귀엽게 잘만든 스포츠코미디.여자들 야구 잘하네,0
2434,액션신이 별로 없는데도 심장을 쫄깃하게 만들어준 웰메이드 범죄물! 류승범 황정민의 연기를 즐거운데 잘만들어진 영화라 기쁨 두배!,0
717,쨩ㅎㅎㅎ,0
1035,평점 올려야 겠다.. 볼만하구만..,0
867,본 알기 위해 놀란을 영화,0
1284,어린 하신분 외계인역 귀엽네요..ㅎ,0
1875,마지막 진 비행기에서 인셉션 성공하고 배우들 표정보여주는데 진짜 소름이 와...,1
370,"볼만하던데여, 옛날 영화치고 그래도 오늘봤는데... ^^",0
2667,애초에 천재설정 영화에서 감독의허황이라고 비판하는 사람들이 더 이해안감;;,0
1852,인어공주의 사랑이야기가 신선하고 흥미로웠다.,0
829,좋으면 좋은거지. 이유없이 좋은 영 영화,0
1692,딱한마디만하겠습니다....... 최고!!!,0
932,와 대사 대 하나하나 잘새겨들었습니다.,0
1304,"미친짓,비극이다. 하지만 이것이 전쟁의 실체이고, 역사이다",1
2204,제목때문에 삼류 에로 영화 타이틀 같지만 내용은 알찬 스릴러 물 그리고 요즘 덱스터에 나오는 데스몬드의 리즈시절 모습을 볼수 있기에,0
1915,허.. 이런영화를 왜 놓치고 있었지?,0
2919,재미와감동은보너스다시내자신돌아보게만드는내용이너무좋았네요..아직못보신분들..강추강추,0
2713,이영화 땜에 5만원짜리 태워서 담배피다 마누라한테 개쳐맞음 맞아도 이영화는 전설갑짱이다,0
1725,"널봐, 아름다운 괴물을",1
388,좋은 절제된 감정. 깔끔하고 영화,0
1689,당구대 앞에서 눈빛연기를 알파치노의 잊을수가 없어,0
1396,이렇게 그냥 끝나겟어 하고 설마 끝나는 결말 그러나 영화는 훌륭하다!.,1
1118,이 영화 삽입장면에 보세요 애니메이션 외국판 잔인한거 많이나옴 ;,1
1701,배우들 연기 매우좋고 들마내용도 흥미진진 케미가 최고네요,0
147,"흑적색 커튼의 배경에 베르디 오페라의 향연, 몰입도 최고였습니다. 특히 여주인공의 노래 실력은 굉장한 감동을 불러일으켜줬어요^^",0
428,1편보단 별로였지만 그래도 나름 재밌었음,0
1149,마지막에 함장끼리 악수할 때 가슴이 때 뜨거워졌습니다. 분노의 질주 이후로 처음이네요.,1
1035,쓸데없이 까고 부수는 영화보다 이런 영화가 많이 나오면 좋겠어유. 보는 내내 가슴이 많이 아팠네유. 사 속 님 아이는 할아버지가 구해준 아이였네유. 할아버지를 보면 여러가지 생각이 교차하네유.,1
2966,재미만있구만 ㅋ뭔작품성따지고보냐 ㅋㅋ,0
2437,좋은데요.,0
2214,영화를 많이 지 못해서 그럴 수있지만 난 이영화가 최고의 반전이 아닌가 싶다. 정말 통쾌하고 결말이 신났다,1
862,봤던 영화중제일감명깊게봤네요 마지막에 다시만나게되어 다행입니다 헤어진뒤로 다시못만나면어쩌나했는데 둘은행복하게살겠죠?,1
1525,지 내가 영위하고 있는 일상이 얼마나 소중한지 깨닫게 해주는 영화. 사진기 하나로 세상을 바꾸는 작가가 정말 대단하다는 생각이 듭니다.,0
1629,"옛날 옛 꽃 영화는 옛날 영화만의 멋이 있는것같다. 사실 그렇게 특별한 내용도 아니었는데 괜히 더 옛 감동스럽고 더 아름다워보이게 하는 옛날 영화만의 필터 효과.. 비와 당신 브금이 깔리면서 마지막 장면에서 같이 우산쓰는 장면이 참 좋았고, 개인적으로 부끄러워서 고백못하는 남자 사연에서 라디오 애청자들이 농협에 꽃 한송이씩 주러가는 장면이 인상적이었다.",1
2165,"남자배우 제레미 아이언스 인줄알았음..노숙자가 단숨에 집도마련하고,미국이좆쿠나",1
2318,"반전, 그 끝이다 시작과",1
483,보다가 이해못한장면이 끝나고 이해가 되면서 소름이 돋음 소름 처음에 손예진이 이기우의 버릇인 입으로 바람을불어 머리카락이 휘날리게하는게 알려주는것같아서 누구딸인지 처음부터 특히,1
974,마지막에 조슈아가 엄마한테 외치는 장면에서 펑펑 울었다. 아버지의 희생으로 인간이 만든 가장 지옥 장소에서도 어린아이다운 그대로 간직하고 나와 기뻐하는 아이의 그 모습이 너무 아름다워서 울 수밖에 없었다.,1
1399,만들어야지.. 9점대는,0
241,최고작 이스트우드,0
2864,일베넘들 안당해봐서그른가 ㅍㅂㄱ하는꼴보소,0
1003,레드퍼드는 총 개츠비에도 그렇고 마지막에 뒤에서 위대한 맞는 장면이 여기서 있네,1
858,삶의 소중함을 정말 알게해주는 좋은영화!,0
1613,완전 짱!!!,0
1753,몰랐는데 이제 보니까 퀀투스가 제일 쓰레기네...막시무스 배신했다가 황제 배신했다가...박쥐같은 넘,1
1266,"내 인생 최고의 영화였다.보는 내내 삶의 이유,양심,신념 등등에 대해 많은 생각을 하게 만드는 걸작이었다.특히 마지막 장면을 보면서 깊은 감동으로 눈물이 쏟아지더라.자신의 양심과 신념을 지키며 사는 삶이 여인의 향기와 같다고 제목을 통해 비유한 것같다",1
62,스릴도있고 재미도있고 반전도있고 꿀기욤이아들까지 완전재밋엇움,1
2308,옥상에서 최고의 맥주 마시는 장면과 마지막에 두 주인공이 재회하는 장면은 정말이지 잊혀지지가 않네요. 말해 뭐해.. 여유롭게 영화!,1
1995,이번껀 괜찮았다 솔직히,0
685,약간 지루하지만 꽤 재밌었다,0
1568,로봇 형체로 표절을 주장한다면 장동건 닮은 사람은 장동건 표절입니까? 예?,0
987,고전적 잔인 코믹 명작 영,0
268,"최고의 눈물 포인트 마지막 원빈배우 노역 하신분이 나오셔서 ""오신다고 했잖아요. 마저 만든다고 했잖아요""? 이런 대사 할때 안울었던 사람 거의 없다고 봅니다. 분단의 아픔, 동족상잔의 아픔 이런거 떠나서 한번쯤 보고 눈물흘리게 되는 영화라고 봅니다.",1
2268,남주가 택시에서 몸 홱 돌리면서 대신 때 진짜 펑펑 울었다...,1
3019,"늑대아이.. 진짜 최애 애니영화라 10번은 넘게 봤는데... 진짜 진 볼때마다 아메가 떠나가는 장면에서 갓 계속 눈물이 흘렀네요... 그러면서도 이 영화를 이제 커서 보니까 "" 아니 하나뿐인 엄마가 산에서 밤새도록 쓰러졌는데... 집에라도 데려다주지... "" 라는 생각도 들고... 그래도 아직까지 정말 모두에게 추천해주고 싶을만큼 갓 애니영화입니다... 오랜만에 오늘 진 방송해주길래 울면서봤는데... 진짜 오래오래 방송해주세요~ ㅎㅎ",1
2835,찡하게 밀려오는 감동의 여운이 있다.,0
848,서서히 빠져들며 이어가던 이야기가 섬득한 결말의 반전으로 끝맺으며 생각하면 할수록 멍해지는 꽤 괜찮은 스릴러?공포?영화~^^,1
914,"역시 더러운 일은 하면 안된다. 하필 납치한 여자의 아버지가 특수요원일 줄은 누가 알았겠는가..? ㅋㅋ 주인공이 너무 건 사기이긴한데, 충분히 매력적인 액션영화이다..! 특히 'Good luck' 녹취록으로 범인을 식별하는 건 짜릿했다. 동시에 엄청난 부성애를 느낄 수 있었고, 1시간30분이 순삭되는 영화였다. ((참고로)) 아직도 기억나는 명대사는 정말 임팩트가 크다. "" I don't know who U R. I don't know what U want. ~~(넌 잘못 건 걸렸다는 중략) ~~ (딸을 안놔주면) I will find U and i will kill U."" 내가 만약 이 말을 들은 범죄자라면, 그만 두겠다 이 ㅋㅋㅋㅋ",1
1222,시즌1에서는 스타일의 키 큰 여자가 최종회에서 죽었다면 최상의 작품,1
533,마지막 감동적이어서 울뻔 ㅎ,1
2848,화 한편 하나 굉장히 제미있네,0
1827,이젠 시간여행을 하지않는다.내가 이날을 위해 시간 여행을 한 것처럼살아간다 이렇게 말했을때 나에게 말하는 것 같았습니다나는 시간 여행을 할수없으니 하루하루 소중히특별한 날인 것처럼 살아가라고..되는게 없고 정말 하루하루 의미 없이 살아가고 있었는데 비어있던 마음에 조금이나마 무언가 채워지는 것 같았습니다. 처음 본 영화도 아닌 2번 본 영화인데 처음 볼때와는 다른 감정으로 보니 새롭고 더 아름답다 느꼈습니다 감사합니다.,1
2696,천사의 숨소리! 최고의 작품이네요 마지막 그 감동은 그 잊을수 없어요 쵝오!,1
835,잔잔하고 좋음 극중요코는 성격이 고양이와 흡사한 점이 상당히 많네요ㅎㅎ,0
2439,좋은데요.,0
1284,"my all failures, preparing for you 실패는 당신을 만나기 위한",1
2749,오래된 영화라서 스포하고갑니다...범인은 이춘재입니다...,1
1660,이거 재미있어요 ..::,0
1368,타오르는 불꽃은 순간이죠.. 하지만 동 순간을 살았어요..,1
1691,당구대 앞에서 알파치노의 눈빛연기를 잊을수가 없어,0
2526,마틴 로렌스의 코믹한 연기가 인상깊었다.,0
1428,대머리 콜린 개 귀여움... 계 빵빵 터짐... 형사로 와이어의 벙크 엉아 나와서 개 반가웠다^^^ 음하하하. 콜린 죽어서 2탄에 못 나오는게 젤 아쉬워... 왜 죽인거야 왜....,1
2042,"재미와 감동, 그리고 생각하게 해준 영화를 지인들께 추천하고 다시한번 상영관이 없어 볼수가 없습니다. 진심으로...",0
1269,내 최고의 영화였다.보는 내내 삶의 등등에 대해 많은 하게 만드는 걸작이었다.특히 마지막 장면을 보면서 깊은 눈물이 쏟아지더라.자신의 양심과 지키며 사는 삶이 여인의 향기와 같다고 제목을 통해 비유한,1
38,완전 재밌음 10점도 더 주고 싶어요,0
544,"자파가 술탄이 된 후 부르는 자스민 롱샷 ""speechless"" 공주의 장면은 레알 영화 명장면. 지니가 등장할 때의 약빤 연출도 좋았고 전체적인 완성도가 뛰어난 소름돋는",1
2894,기대는 안했는데 가족이란? 생각나게 하는 매력적인 영화입니다.,0
1493,지니어스 ost보고 이거 생각나서 봤는데 재밌음,0
1589,예나 지금이나 아빠노릇하기 참 힘든거 같아...그만큼 아들을 사랑한단거 겠지만...,0
1300,영화보는내내 나를 보는 것 같아 소름끼쳤다 ..ㄷㄷ 미셸 공드리 식으로 '남자'에 대해 완전히 파헤친 영화!!강력 추천함 ㅎㅎㅎ 꼭 보시길(특히 짝사랑한 상대한테거절당한 남성에게 추천함),0
42,"밑에 야이 OOOO 너는 구 영화보지마라, 현실과 영화도 구분 못하는 새끼가 무슨 영화를",0
1308,이거 보다가 소름이 쫘악 돋았음....모자이크 되었는 데도 너무 무섭고 스토리 엔딩 자체도 너무 무섭다.,1
902,"좋은 시나리오, 비고 모르텐슨의 좋은 연기.",0
2192,처음에는 늑대아이들이 너무 귀여워서 흐뭇하게 봤는데 중후반부로 갈수록 가슴 저릿하게 하는 장면들이 많네요.. 특히 둘째를 떠나보낼때 엄마가 한말은 계속 잊혀지지 않을것 같습니다 ㅠㅠ,1
1776,마지막에 에미 로섬이 마놀로 구두신고 노래부를땐 정말 폭풍 엔딩곡 ㅠ.ㅠ 감동 너무 좋네여~!!,1
1507,라 좋아하는 사람을 이해할수가 없었는데 이 영화의 나를 울게하소서 이 하나만으로 오페라에 빠져버렸다.영화를 처음본날이 십여년전이건만 그날의 감동이 아직도 감돈다.,0
1804,늦게 나마 이 영화를 볼 수 있었던 것은 행운이 아닐까? 엔딩크레딧이 끝날때까지 보고 있는 내 자신을 수 발견한다.,0
273,1~2화보고 두번봐라 코미디인줄 알았는데 나름 감동도 있음! 꼭봐라 그냥 ㅋ,1
1985,이영애가 범인. 이영애만 없었으면 둘다 살았음.,1
2160,"남자배우 제레미 아이언스 인줄알았음..노숙자가 단숨에 집도마련하고,미국이좆쿠나",1
2891,"영화내용은 사실별거 없지만 보고나면 생각을 많이하게 되는 영화임. 재미있기도 하고, 결론은 무엇이냐 하면 빨갱이들이 아무것도 모르는 사람들 선동해서 비참한 결과를 낳게 한다는 내용임. 복수심에 불타는 이북출신들도 나오는데 다 역사적인 사실임.",1
1435,엄마랑 싸우고 영화보러 갔는데 날 위로해주는 영화인줄… 크루엘라가 날 낳은 엄마에게 대신 복수해주는 느낌이었음 엄마가 다 착한것도 충분히 크루엘라같이 원수같은 관계도 있는건데.. 그런 비틀어짐을 보는것도 위안이 되었네요 똑똑한데 착한거같아요개도 안죽이고 나쁘고 극이기주의자 같은 사이코의 나쁜면을 사람들에게 다 드러내고 벌받게 하고 자신의 자리를 찾아가게 된거잖아요,1
2621,적당 ㅎㅎ,0
1883,전태일열사로인해 우리노동자들의삶이 많이 나아졌습니다. 자신보다도 공장여동생을 걱정하는 모습이 좋았습니다. 무엇보다도전태일이라는 사람의 개인사를 알수있어서 좋아요,1
42,요즈음 우리 대한민국 의 안전 불감증에 대한 경고와 한 여성의 애국심과 휴머니즘을 다룬 영화로 학생 단체관람 강추!!,1
1862,정말 눈물이 난다.저 생생한 눈빛과 생동감넘치는 몸짓발짓의 멋진 연기를 하셨던 분들모두가 거의 100년전의 분들이라니 말이 되는가.하다못해 강아지토토의 연기마저 감탄.모두 돌아가셨을껄 생각하니 시간의 흐름이 너무 슬프다.,0
283,큰 기대 안하고 띄엄띄엄 보다가 봤네요!! 잘봤습니다. 액션도 뛰어나고 아슬아슬한 장면들을 극복해 가는게 나름 잼있었어요!! 마지막에 박사가 살았는지 안나와서 좀 아쉽네요..그래도 딸은 살렸으니 다행스럽다는 ㅎㅎ,1
2567,분노가 치밀어 오른다...엿,0
153,웃겨 키드키득키득 임창정 연기력 폭발 송지효 너무좋타,0
2651,최고 재밌었던 드라마 무거운 분위기도 조승우배우의 알짜배기 연기로 유쾌해지기도 하고 스토리도 좋고 모든 화가 다 소중한 드라마,0
849,서서히 빠져들며 이어가던 이야기가 섬득한 결말의 반전으로 생각하면 멍해지는 꽤 괜찮은 스릴러?공포?영화~^^,1
2899,의리에 살고 의리에 싸나이는 거짓말을 않는다!,1
2639,뭐야 평점들이 왜그러지.. 나름 반전도 있고 괜찮았는데.. 근데 확실히 코미디는 다른영화에 비해 부족한편ㅋ... 1점 주면서 알바니 뭐니 까지 할 정도는 아닌듯,1
931,40년전 영화인데 지금 봐도 개 쩌네 특히나 후반부 액션씬 쩐다 야외에서 소룡이 성님 영화 시전하면서 사자후 배경사운드도 절정이고 굿굿,1
719,쨩ㅎㅎㅎ,0
2330,OCN에서 다시해주는거 보는데 웃겼어요ㅋㅋㅋ 재밌고 웃겨요!! 그리고 성동일씨 뽕 넣은 장면 진짜 너무,1
1468,결혼은 견우같은 남자와 해야겠다 싶은 영화 나무 벼락맞아서 두조각났는데 그녀가 상심할까봐 똑같은 나무 감동감동!! 심어놓고 구해서,1
3046,정화가 철민을 찾아 헤매다가 결국 길 한 없이.. 멈춰서서 울부짖는 장면에서 나도 따라 울부짖었다. 난 소리 구석에,1
